date,time,lat,lon,depth,mag
1980/02/23, 05:51:03.20,43.53,146.753,44,7
1980/07/08, 23:19:19.80,-12.41,166.381,33,7.5
1980/07/17, 19:42:23.20,-12.525,165.916,33,7.9
1980/10/10, 12:25:23.50,36.195,1.354,10,7.3
1980/10/25, 11:00:05.10,-21.89,169.853,33,7.2
1980/11/08, 10:27:33.20,41.0842,-124.6157,14.64,7.2
1981/01/30, 08:52:44.10,51.744,176.274,33,7
1981/05/25, 05:25:14.40,-48.786,164.357,33,7.6
1981/07/06, 03:08:24.18,-22.293,171.742,33,7
1981/07/15, 07:59:08.47,-17.26,167.601,30,7
1981/09/01, 09:29:31.54,-14.96,-173.085,25,7.7
1981/12/26, 17:05:32.52,-29.934,-177.741,33,7.1
1982/06/07, 10:59:40.16,16.558,-98.358,33.8,7
1982/06/19, 06:21:58.00,13.313,-89.339,81.6,7
1982/07/07, 10:43:03.74,-51.225,160.513,10,7
1982/08/05, 20:32:52.95,-12.597,165.931,30.7,7.1
1982/12/19, 17:43:54.85,-24.133,-175.864,33,7.7
1983/03/18, 09:05:50.00,-4.883,153.581,88.8,7.6
1983/04/03, 02:50:01.18,8.717,-83.123,37,7.3
1983/05/26, 02:59:59.60,40.462,139.102,23.7,7.7
1983/08/17, 10:55:54.13,55.867,161.287,62.6,7
1983/10/04, 18:52:13.30,-26.535,-70.563,14.8,7.3
1983/11/24, 05:30:34.23,-7.481,128.168,178.5,7.1
1983/11/30, 17:46:00.67,-6.852,72.11,10,7.6
1983/12/02, 03:09:05.66,14.066,-91.924,67.1,7.1
1983/12/30, 23:52:39.93,36.372,70.738,214.5,7.2
1984/02/07, 21:33:21.49,-10.012,160.469,18.1,7.5
1984/03/19, 20:28:38.24,40.32,63.35,14.5,7
1984/10/15, 10:21:07.50,-15.86,-173.643,128.4,7.1
1984/11/01, 04:48:50.27,8.185,-38.794,10,7.1
1984/11/17, 06:49:30.02,0.197,98.027,33,7.2
1985/03/03, 22:47:07.28,-33.135,-71.871,33,7.8
1985/04/09, 01:56:59.48,-34.131,-71.618,37.8,7.2
1985/05/10, 15:35:50.59,-5.599,151.045,26.7,7.1
1985/07/03, 04:36:51.73,-4.439,152.828,33,7.2
1985/08/23, 12:41:56.16,39.431,75.224,6.8,7.3
1985/09/19, 13:17:47.35,18.19,-102.533,27.9,8.1
1985/09/21, 01:37:13.47,17.802,-101.647,30.8,7.6
1985/09/26, 07:27:51.13,-34.693,-178.656,51.6,7
1985/11/17, 09:40:21.29,-1.639,134.911,10,7.1
1985/11/28, 02:25:42.34,-14.043,166.24,33,7
1985/11/28, 03:49:54.15,-13.987,166.185,33,7.1
1986/05/07, 22:47:10.87,51.52,-174.776,33,7.7
1986/06/24, 03:11:30.93,-4.448,143.943,102.3,7.1
1986/08/14, 19:39:13.67,1.795,126.519,33,7.2
1986/10/20, 06:46:09.98,-28.117,-176.367,29.1,8.1
1986/11/14, 21:20:10.55,23.901,121.574,33.8,7.8
1987/01/30, 22:29:42.09,-60.063,-26.916,47.6,7
1987/02/08, 18:33:58.39,-6.088,147.689,54.9,7.4
1987/03/05, 09:17:05.28,-24.388,-70.161,62.3,7.3
1987/10/06, 04:19:06.08,-17.94,-172.225,16,7.3
1987/10/16, 20:48:01.64,-6.266,149.06,47.8,7.4
1988/08/06, 00:36:24.65,25.149,95.127,90.5,7.2
1988/08/10, 04:38:26.17,-10.366,160.819,34,7.4
1989/05/23, 10:54:46.32,-52.341,160.568,10,8.2
1989/10/18, 00:04:15.19,37.0362,-121.8798,17.43,7
1989/10/27, 21:04:51.82,-11.022,162.35,24.7,7
1989/11/01, 18:25:34.94,39.837,142.76,28.6,7.4
1990/03/03, 12:16:27.96,-22.122,175.163,33.2,7.4
1990/03/05, 16:38:12.57,-18.318,168.063,20.7,7
1990/04/05, 21:12:35.55,15.125,147.596,11.4,7.5
1990/05/20, 02:22:01.62,5.121,32.145,14.9,7.1
1990/05/24, 20:00:08.19,5.358,31.848,16,7
1990/05/30, 10:40:06.14,45.841,26.668,89.3,7.1
1990/06/20, 21:00:09.98,36.957,49.409,18.5,7.7
1990/07/16, 07:26:34.61,15.679,121.172,25.1,7.8
1990/11/06, 20:14:29.74,53.452,169.871,24.8,7
1991/04/22, 21:56:51.82,9.685,-83.073,10,7.6
1991/10/14, 15:58:12.79,-9.094,158.442,23.4,7.1
1991/10/19, 21:23:14.30,30.78,78.774,10.3,7
1991/11/19, 22:28:51.09,4.554,-77.442,21.3,7
1991/12/22, 08:43:13.41,45.533,151.021,24.7,7.4
1991/12/27, 04:05:58.24,-56.032,-25.266,10,7.2
1992/05/15, 07:05:05.34,-6.075,147.572,58,7.1
1992/05/17, 10:15:31.31,7.191,126.762,33,7.5
1992/05/27, 05:13:38.81,-11.122,165.239,18.8,7
1992/06/28, 11:57:34.13,34.2,-116.437,0.97,7.3
1992/08/19, 02:04:37.41,42.142,73.575,27.4,7.4
1992/08/28, 18:18:46.44,-0.965,-13.562,15.5,7
1992/09/02, 00:16:01.69,11.742,-87.34,44.8,7.2
1992/10/18, 15:11:59.11,7.075,-76.862,10,7.3
1992/12/12, 05:29:26.35,-8.48,121.896,27.7,7.5
1992/12/20, 20:52:47.28,-6.582,130.393,77.7,7
1993/01/15, 11:06:05.95,43.3,143.691,102.2,7.1
1993/03/06, 03:05:49.87,-10.972,164.181,20.4,7.1
1993/05/24, 23:51:28.24,-22.671,-66.543,221,7
1993/06/08, 13:03:36.48,51.218,157.829,70.6,7.3
1993/07/12, 13:17:11.96,42.851,139.197,16.7,7.6
1993/08/08, 08:34:24.93,12.982,144.801,59.3,8
1993/08/09, 12:42:48.19,36.379,70.868,214.5,7
1993/08/10, 00:51:53.25,-45.277,166.927,28.1,7
1993/10/13, 02:06:00.34,-5.889,146.02,25.3,7
1993/10/25, 10:27:04.51,-5.909,145.99,30.4,7
1993/11/13, 01:18:04.18,51.934,158.647,34,7
1994/01/21, 02:24:29.96,1.015,127.733,19.9,7.2
1994/02/12, 17:58:23.99,-20.553,169.361,27.7,7.1
1994/02/15, 17:07:43.80,-4.967,104.302,23.1,7
1994/03/09, 23:28:06.78,-18.039,-178.413,562.5,7.6
1994/06/02, 18:17:34.02,-10.477,112.835,18.4,7.2
1994/06/09, 00:33:16.23,-13.841,-67.553,631.3,8.2
1994/06/18, 03:25:15.83,-42.963,171.658,13.6,7.1
1994/07/13, 02:35:56.02,-16.62,167.518,33,7.3
1994/07/21, 18:36:31.74,42.34,132.865,471.4,7.3
1994/09/01, 15:15:53.08,40.402,-125.68,10,7
1994/10/04, 13:22:55.84,43.773,147.321,14,8.1
1994/10/09, 07:55:39.58,43.905,147.916,33,7.1
1994/11/14, 19:15:30.66,13.525,121.067,31.5,7.1
1994/12/28, 12:19:23.03,40.525,143.419,26.5,7.5
1995/02/05, 22:51:05.14,-37.759,178.752,21.1,7.5
1995/03/19, 23:53:14.92,-4.183,135.109,33,7.1
1995/04/07, 22:06:56.89,-15.199,-173.529,21.2,8
1995/04/21, 00:30:10.82,11.925,125.564,17.4,7.2
1995/04/21, 00:34:46.09,12.059,125.58,20.7,7.3
