year,count
115,260000
294,101
342,40000
344,101
367,1000
458,80000
512,5130
525,250000
528,4870
533,130000
551,5000
565,30000
587,60000
600,101
614,1000
649,50
662,40000
688,2000
734,101
777,200
778,48
780,100
811,1400
814,101
820,20
838,15000
844,50000
845,50000
847,70000
850,45000
851,12000
854,2000
856,290000
858,12000
871,20000
885,1000
893,150000
943,5000
978,2000
1000,62
1001,60
1007,16000
1008,16000
1013,11
1033,70000
1037,22391
1038,32300
1042,90000
1057,25000
1065,975
1072,50
1086,1000
1096,400
1101,60000
1137,15000
1139,230000
1143,10000
1151,1000
1155,2000
1156,2000
1157,8000
1158,20000
1164,19
1169,96000
1182,11
1183,20000
1202,30000
1208,2000
1209,3000
1219,10000
1222,12000
1227,5000
1248,9000
1268,15000
1269,8000
1272,250
1289,10000
1290,7220
1291,150
1293,23024
1303,4000
1305,2000
1306,5000
1310,3466
1314,340
1319,75
1328,5000
1336,20000
1339,60
1340,360
1343,5700
1344,20
1348,5000
1349,2000
1352,2000
1354,24
1356,600
1358,61
1361,4000
1372,16
1384,500
1414,200
1426,60
1428,600
1440,200
1443,30
1444,30000
1456,30000
1457,32000
1458,32100
1463,10
1482,30000
1487,1900
1490,100
1491,5000
1494,3
1499,10000
1500,10000
1501,400
1502,50
1508,300
1509,5000
1510,2000
1511,3015
1515,300
1531,30000
1536,3
1542,113
1549,3000
1551,2000
1556,830000
1560,100
1561,1601
1564,650
1568,260
1570,125
1574,1200
1575,21
1577,170
1579,10
1584,100
1586,8042
1587,170
1594,40
1601,9
1604,100
1605,2000
1606,2000
1609,840
1610,60
1611,3702
1613,103
1618,2800
1619,350
1622,12000
1626,5200
1627,5000
1628,63
1633,150
1634,30
1636,520
1638,9633
1639,12000
1640,5300
1641,30000
1644,150
1645,600
1647,1000
1648,2000
1649,200
1652,3000
1653,2500
1654,22000
1656,11000
1657,11000
1659,2074
1660,2
1662,600
1664,1950
1665,19
1666,1500
1667,97000
1668,60078
1669,7000
1672,1500
1673,5605
1674,86
1676,7
1677,2
1678,1
1679,20762
1680,2770
1683,1001
1687,5000
1688,21501
1689,19
1690,20
1692,1000
1693,60000
1694,4451
1695,20031
1698,1000
1702,150
1703,55233
1704,58
1706,1000
1707,5160
1709,2032
1711,1004
1713,2100
1714,56
1716,20000
1718,73000
1721,42000
1725,2114
1726,250
1727,77000
1729,5
1730,860
1731,1
1732,1940
1736,260
1738,336
1739,50000
1743,5
1746,1141
1748,60
1750,2037
1751,3000
1752,40000
1754,40016
1755,93340
1757,15053
1758,3000
1759,30000
1761,170
1762,200
1763,1083
1765,2068
1766,1740
1767,40
1768,120
1770,200
1773,8100
1774,300
1778,30000
1779,10000
1780,50300
1781,80
1782,40000
1783,30026
1784,5383
1785,86
1786,555
1788,900
1789,500
1790,3000
1791,87
1792,457
1793,237
1796,1507
1797,56000
1799,2060
1801,7
1802,19
1803,200
1804,612
1805,5800
1808,2
1810,2059
1811,501
1812,26041
1813,32
1814,904
1815,23364
1816,2877
1817,4
1818,172
1819,1669
1820,438
1821,162
1822,28095
1823,22
1825,7058
1827,1334
1828,2501
1829,2200
1830,8707
1831,3037
1832,22
1833,6753
1834,228
1835,450
1836,610
1837,5042
1838,3000
1839,1136
1840,1078
1842,5500
1843,6000
1844,1700
1845,498
1846,86
1847,12185
1848,1004
1849,40
1850,20650
1851,3071
1852,2671
1853,14108
1854,3120
1855,10399
1856,841
1857,20036
1858,240
1859,15210
1861,14020
1862,2803
1863,1711
1864,620
1865,60
1866,80
1867,775
1868,95061
1869,57
1870,2667
1871,2000
1872,6631
1873,1155
1874,300
1875,2308
1877,103
1878,510
1879,24710
1880,180
1881,8585
1882,37
1883,17313
1884,1000
1885,3171
1886,660
1887,2864
1889,45
1890,171
1891,7340
1892,2
1893,18781
1894,1507
1895,11007
1896,28718
1897,3202
1898,65
1899,3830
1900,140
1901,26
1902,9488
1903,6632
1904,552
1905,19701
1906,7254
1907,13168
1908,78000
1909,5994
1910,2524
1911,1297
1912,3000
1913,1241
1914,4313
1915,30154
1916,181
1917,6017
1918,2046
1920,203053
1922,537
1923,150561
1924,1051
1925,6142
1926,369
1927,44250
1928,742
1929,3944
1930,5174
1931,15703
1932,2126
1933,9634
1934,10724
1935,67440
1936,874
1937,445
1938,227
1939,62847
1940,1424
1941,2851
1942,1400
1943,6869
1944,11678
1945,6955
1946,3741
1947,745
1948,116133
1949,9917
1950,1985
1951,4236
1952,347
1953,2628
1954,3319
1955,503
1956,855
1957,2955
1958,332
1959,100
1960,15739
1961,149
1962,12339
1963,1581
1964,265
1965,711
1966,2804
1967,948
1968,11884
1969,3413
1970,78260
1971,1288
1972,40126
1973,700
1974,25441
1975,2677
1976,279767
1977,2924
1978,20216
1979,1549
1980,10330
1981,6761
1982,3502
1983,2305
1984,97
1985,9844
1986,1186
1987,5162
1988,26952
1989,680
1990,52950
1991,3460
1992,2347
1993,11129
1994,1381
1995,7925
1996,465
1997,3233
1998,7436
1999,21951
2000,222
2001,21260
2002,1686
2003,33816
2004,1894
2005,87982
2006,5870
2007,714
2008,88064
2009,1590
2010,318732
2011,2569
2012,650
2013,1060
2014,629
2015,8666
2016,840
