year,count
1900,140
1901,26
1902,9488
1903,6632
1904,552
1905,19701
1906,7254
1907,13168
1908,78000
1909,5994
1910,2524
1911,1297
1912,3000
1913,1241
1914,4313
1915,30154
1916,181
1917,6017
1918,2046
1920,203053
1922,537
1923,150561
1924,1051
1925,6142
1926,369
1927,44250
1928,742
1929,3944
1930,5174
1931,15703
1932,2126
1933,9634
1934,10724
1935,67440
1936,874
1937,445
1938,227
1939,62847
1940,1424
1941,2851
1942,1400
1943,6869
1944,11678
1945,6955
1946,3741
1947,745
1948,116133
1949,9917
1950,1985
1951,4236
1952,347
1953,2628
1954,3319
1955,503
1956,855
1957,2955
1958,332
1959,100
1960,15739
1961,149
1962,12339
1963,1581
1964,265
1965,711
1966,2804
1967,948
1968,11884
1969,3413
1970,78260
1971,1288
1972,40126
1973,700
1974,25441
1975,2677
1976,279767
1977,2924
1978,20216
1979,1549
1980,10330
1981,6761
1982,3502
1983,2305
1984,97
1985,9844
1986,1186
1987,5162
1988,26952
1989,680
1990,52950
1991,3460
1992,2347
1993,11129
1994,1381
1995,7925
1996,465
1997,3233
1998,7436
1999,21951
2000,222
2001,21260
2002,1686
2003,33816
2004,1894
2005,87982
2006,5870
2007,714
2008,88064
2009,1590
2010,318732
2011,2569
2012,650
2013,1060
2014,629
2015,8666
2016,840
